timestamp,name,location,access
2015-08-31T19:15:00-04:00,"The President participates in a roundtable with Alaska Natives","Denaâina Civic and Convention Center - Anchorage","Pool Spray at the Bottom"
2015-08-31T21:00:00-04:00,"The President addresses the GLACIER Conference","GLACIER Pre-Credentialed Media Pool Coverage","Open to pre-credentialed media"
2015-08-28T10:30:00-04:00,"The President and the Vice President receive the Presidential Daily Briefing","Oval Office","Closed Press"
2015-08-28T12:00:00-04:00,"Press Briefing by Press Secretary Josh Earnest",,
2015-08-28T14:10:00-04:00,"The President will participate in a live webcast with members of the North American Jewish community","Diplomatic Reception Room","Closed Press"
2015-08-28T16:05:00-04:00,"The President participates in a DNC roundtable","Fiola Restaurant - Washington","Closed Press"
2015-08-27T10:45:00-04:00,"The President departs the White House en route Joint Base Andrews","South Lawn","Open Press"
2015-08-27T11:00:00-04:00,"The President departs Joint Base Andrews en route New Orleans, Louisiana",,"Travel Pool Coverage"
2015-08-27T13:20:00-04:00,"The President arrives New Orleans, Louisiana","Louis Armstrong International Airport","Open to pre-credentialed media"
2015-08-27T13:45:00-04:00,"The President meets with residents and youth","New Orleans","Travel Pool Coverage"
2015-08-27T15:55:00-04:00,"The President participates in a resilience roundtable","Andrew P. Sanchez Community Center, New Orleans","Travel Pool Spray"
2015-08-27T16:55:00-04:00,"The President delivers remarks","Andrew P. Sanchez Community Center, New Orleans","Open to pre-credentialed media"
2015-08-27T18:00:00-04:00,"The President departs New Orleans en route Washington, DC","Louis Armstrong International Airport","Open to pre-credentialed media"
2015-08-27T20:15:00-04:00,"The President arrives Joint Base Andrews",,"Travel Pool Coverage"
2015-08-27T20:30:00-04:00,"The President arrives at the White House","South Lawn","Open Press"
2015-08-26T10:00:00-04:00,"The President and the Vice President receive the Presidential Daily Briefing","Oval Office","Closed Press"
2015-08-26T12:00:00-04:00,"Press Briefing by Press Secretary Josh Earnest",,
2015-08-26T12:15:00-04:00,"The President honors the 2014 WNBA Champion Phoenix Mercury","East Room","Open Press"
2015-08-26T14:20:00-04:00,"The President is interviewed by local news anchors participating in âLive from the White Houseâ","Diplomatic Reception Room",
2015-08-25T13:10:00-04:00,"The President departs Las Vegas, Nevada en route Washington, DC","McCarran International Airport","Open to pre-credentialed media"
2015-08-25T17:15:00-04:00,"The President arrives Joint Base Andrews",,"Travel Pool Coverage"
2015-08-25T17:30:00-04:00,"The President arrives at the White House","South Lawn","Open Press"
2015-08-24T10:30:00-04:00,"The President and the Vice President receive the Presidential Daily Briefing","Oval Office","Closed Press"
2015-08-24T12:30:00-04:00,"The President and the Vice President meet for lunch","Private Dining Room","Closed Press"
2015-08-24T12:30:00-04:00,"Press Briefing by Press Secretary Josh Earnest",,
2015-08-24T14:40:00-04:00,"The President departs the White House en route Joint Base Andrews","South Lawn","Open Press"
2015-08-24T14:55:00-04:00,"The President departs Joint Base Andrews en route Las Vegas, Nevada",,"Travel Pool Coverage"
2015-08-24T19:20:00-04:00,"The President arrives Las Vegas, Nevada","McCarran International Airport","Open to pre-credentialed media"
2015-08-24T20:00:00-04:00,"The President delivers remarks at the National Clean Energy Summit","Mandalay Bay Resort Convention Center - Las Vegas","Open to pre-credentialed media"
2015-08-24T21:35:00-04:00,"The President attends an event for the Nevada State Democratic Party","Private Residence","Print Pool"
2015-08-15T14:45:00-04:00,"Vice President Biden speaks at the memorial service to honor the fallen service members killed on July 16","McKenzie Arena - Chattanooga, TN","Open Press"
2015-08-07T10:00:00-04:00,"The President and the Vice President receive the Presidential Daily Briefing","Oval Office","Closed Press"
2015-08-07T13:00:00-04:00,"Press Briefing by Press Secretary Josh Earnest",,
2015-08-07T16:35:00-04:00,"The First Family departs the White House en route Andrews Air Force Base","South Lawn","Open Press"
2015-08-07T16:50:00-04:00,"The First Family departs Andrews Air Force Base en route Massachusetts","Andrews Air Force Base","Travel Pool Coverage"
2015-08-07T18:00:00-04:00,"The First Family arrives Cape Cod, Massachusetts","Cape Cod Coast Guard Air Station","Open Press"
2015-08-07T18:20:00-04:00,"The First Family arrives Martha's Vineyard, Massachusetts",,"Travel Pool Coverage"
2015-08-06T12:30:00-04:00,"Press Briefing by Press Secretary Josh Earnest",,
2015-08-06T14:10:00-04:00,"The President participates in a video conference to commemorate the 50th Anniversary of the Voting Rights Act","Roosevelt Room",
2015-08-05T10:00:00-04:00,"The President and the Vice President receive the Presidential Daily Briefing","Oval Office","Closed Press"
2015-08-05T11:20:00-04:00,"The President delivers remarks on the nuclear deal reached with Iran","American University â Washington DC","Pooled TV, Open to Correspondents"
2015-08-04T10:00:00-04:00,"The President and the Vice President receive the Presidential Daily Briefing","Oval Office","Closed Press"
2015-08-04T11:00:00-04:00,"The President holds a bilateral meeting United Nations Secretary-General Ban Ki-moon; The Vice President also attends","Oval Office","Pool Spray at the Bottom"
2015-08-04T12:30:00-04:00,"The President and the Vice President meet for lunch","Private Dining Room","Closed Press"
2015-08-04T12:30:00-04:00,"Press Briefing by Press Secretary Josh Earnest",,
2015-08-04T15:15:00-04:00,"The President views White House Demo Day exhibits","State Floor","Pooled Press"
2015-08-04T15:40:00-04:00,"The President delivers remarks at the White House Demo Day","East Room","Open Press"
2015-08-04T16:25:00-04:00,"The President meets with American Jewish community leaders to discuss the Iran nuclear deal","Cabinet Room","Closed Press"
2015-08-03T10:00:00-04:00,"The President receives the Presidential Daily Briefing","Oval Office","Closed Press"
2015-08-03T11:10:00-04:00,"The President delivers remarks at the Young African Leaders Initiative (YALI) Mandela Washington Fellowship Presidential Summit","Omni Shoreham Hotel â Washington DC","Open to pre-credentialed media"
2015-08-03T12:30:00-04:00,"Press Briefing by Press Secretary Josh Earnest",,
2015-08-03T14:15:00-04:00,"The President delivers remarks at a Clean Power Plan event","East Room","Open Press"
2015-08-03T17:20:00-04:00,"The President participates in an Ambassador Credentialing Ceremony","Oval Office","Closed Press"
2015-07-31T10:00:00-04:00,"The President and Vice President receive the Presidential Daily Briefing","Oval Office","Closed Press"
2015-07-31T13:00:00-04:00,"Press Briefing by Press Secretary Josh Earnest and Secretary of Energy Ernest Moniz",,
2015-07-30T12:30:00-04:00,"The President and the Vice President meet for lunch","Private Dining Room","Closed Press"
2015-07-30T18:05:00-04:00,"The President participates in a conference call to discuss the nuclear deal with Iran","Oval Office","Closed Press"
2015-07-28T03:05:00-04:00,"The President takes part in a meeting with Ethiopian civil society activists","Sheraton Addis at Addis Ababa â Ethiopia","Closed Press"
2015-07-28T04:05:00-04:00,"The President tours Faffa Foods","Faffa Foods â Addis Ababa â Ethiopia","Travel Pool Coverage"
2015-07-28T05:05:00-04:00,"The President holds a bilateral meeting with African Union Commission Chairperson Dr. Nkosazana Dlamini Zuma","African Union â Addis Ababa â Ethiopia","Pool Spray at the Bottom"
2015-07-28T06:30:00-04:00,"The President delivers remarks","African Union â Addis Ababa â Ethiopia","Pooled TV, Open to Correspondents"
2015-07-28T08:20:00-04:00,"The President departs Addis en route Ramstein, Germany","Bole International Airport â Addis Ababa â Ethiopia","Open to pre-credentialed media"
2015-07-28T14:50:00-04:00,"The President arrives in Ramstein, Germany and Air Force One refuels","Ramstein Air Base - Germany","Travel Pool Coverage"
2015-07-28T16:50:00-04:00,"The President departs Ramstein Air Base en route Washington, DC","Ramstein Air Base - Germany","Travel Pool Coverage"
2015-07-27T03:30:00-04:00,"The President participates in a welcoming ceremony","National Palace at Addis Ababa â Ethiopia","Travel Pool Coverage"
2015-07-27T03:50:00-04:00,"The President holds in a bilateral meeting with Prime Minister Hailemariam Desalegn of Ethiopia","National Palace at Addis Ababa â Ethiopia","Pool Spray at the Top"
2015-07-27T05:15:00-04:00,"The President meets with President Mulatu Teshome of Ethiopia","National Palace at Addis Ababa â Ethiopia","Closed Press"
2015-07-27T06:20:00-04:00,"The President joins Prime Minister Hailemariam Desalegn for a press conference","National Palace at Addis Ababa â Ethiopia","Open Press"
2015-07-27T08:00:00-04:00,"The President holds a multilateral meeting on South Sudan and counterterrorism issues with Kenya, Sudan, Ethiopia, the African Union and Uganda","Sheraton Addis at Addis Ababa â Ethiopia","Pool Spray at the Top"
2015-07-27T11:00:00-04:00,"The Vice President delivers remarks on the economy","SUNY Polytechnic Canal Ponds","Open Press"
2015-07-27T12:45:00-04:00,"The President attends a State Dinner with Prime Minister Hailemariam Desalegn; The President and Prime Minister Hailemariam Desalegn each deliver a toast","National Palace at Addis Ababa â Ethiopia","Pooled Press"
2015-07-27T14:45:00-04:00,"The Vice President delivers remarks at an infrastructure event with Governor Andrew Cuomo","Sheraton New York on Seventh Avenue","Open Press"
2015-07-26T04:40:00-04:00,"The President delivers remarks","Nairobi, Kenya, Safaricom Indoor Arena","Open to pre-credentialed media"
2015-07-26T06:45:00-04:00,"The President holds a conversation with civil society leaders","Nairobi, Kenya, YALI Regional Leadership Center","Pooled Press"
2015-07-26T08:05:00-04:00,"The President holds an interview with Capital FM, a local radio station","Nairobi, Kenya, YALI Regional Leadership Center","Travel Pool Spray"
2015-07-26T09:10:00-04:00,"The President departs Kenya en route Addis Ababa, Ethiopia","Kenyatta International Airport","Open to pre-credentialed media"
2015-07-26T11:00:00-04:00,"The President arrives Addis Ababa, Ethiopia","Addis Ababa Bole International Airport","Open to pre-credentialed media"
2015-07-26T11:35:00-04:00,"The President meets with Embassy personnel and families","U.S. Embassy, Addis Ababa, Ethiopia","Open to pre-credentialed media"
2015-07-25T03:25:00-04:00,"The President delivers remarks at the Global Entrepreneurship Summit","United Nations Compound, Nairobi, Kenya","Open to pre-credentialed media"
2015-07-25T04:20:00-04:00,"The President visits the Power Africa Innovation Fair","United Nations Compound, Nairobi, Kenya","Travel Pool Coverage"
2015-07-25T05:05:00-04:00,"The President meets with Embassy personnel and families","U.S. Embassy, Nairobi, Kenya","Closed Press"
2015-07-25T06:55:00-04:00,"The President participates in a wreath laying ceremony","Nairobi, Kenya, Memorial Park","Travel Pool Coverage"
2015-07-25T07:20:00-04:00,"The President participates in ceremonial welcome with President Kenyatta","State House, Nairobi, Kenya","Pooled Press"
2015-07-25T07:50:00-04:00,"The President participates in a bilateral meeting with President Kenyatta","State House, Nairobi, Kenya","Travel Pool Spray"
2015-07-25T09:30:00-04:00,"The President and President Kenyatta participate in a joint press conference","State House, Nairobi, Kenya","Open to pre-credentialed media"
2015-07-25T13:15:00-04:00,"The President attends the State Dinner","State House, Nairobi, Kenya","Travel Pool Coverage"
2015-07-24T03:35:00-04:00,"The President arrives in Ramstein, Germany and Air Force One refuels","Ramstein Air Base","Travel Pool Coverage"
2015-07-24T05:35:00-04:00,"The President departs Ramstein Air Base en route Nairobi, Kenya","Ramstein Air Base, Germany","Travel Pool Coverage"
2015-07-24T13:10:00-04:00,"The President arrives in Nairobi, Kenya","Jomo Kenyatta International Airport","Open Press"
2015-07-23T12:30:00-04:00,"Press Briefing by Press Secretary Josh Earnest",,
2015-07-23T15:15:00-04:00,"The President receives the Presidential Daily Briefing","Oval Office","Closed Press"
2015-07-23T15:30:00-04:00,"The Vice President attends an event for the Democratic Governors Association","Private Residence â California","Closed Press"
2015-07-23T16:00:00-04:00,"The Vice President participates in a roundtable on the importance of preventative health care and innovation","Theranos Manufacturing Facility â California","Open Press"
2015-07-23T20:05:00-04:00,"The President departs the White House en route Joint Base Andrews","South Lawn","Open Press"
2015-07-23T20:20:00-04:00,"The President departs Joint Base Andrews en route Ramstein Air Force Base, Germany",,"Travel Pool Coverage"
2015-07-23T21:30:00-04:00,"The Vice President attends an event for the Democratic Governors Association","Private Residence â California","Closed Press"
2015-07-22T10:00:00-04:00,"The President receives the Presidential Daily Briefing","Oval Office","Closed Press"
2015-07-22T13:00:00-04:00,"Press Briefing by Press Secretary Josh Earnest",,
2015-07-22T13:45:00-04:00,"The President meets with small business owners to discuss the importance of the reauthorization of the Export-Import Bank","Roosevelt Room","Pool Spray at the Bottom"
2015-07-22T18:25:00-04:00,"The President delivers remarks at a reception celebrating the signing into law of the African Growth and Opportunity Act","East Room","Pooled Press"
2015-07-21T09:35:00-04:00,"The President departs the White House en route Joint Base Andrews","South Lawn","Open Press"
2015-07-21T09:50:00-04:00,"The President departs Joint Base Andrews en route Pittsburgh, Pennsylvania",,"Travel Pool Coverage"
2015-07-21T10:50:00-04:00,"The President Arrives Pittsburgh, Pennsylvania","Pittsburgh International Airport","Open Press"
2015-07-21T11:20:00-04:00,"The President delivers remarks","Pittsburgh, PA, David Lawrence Convention Center","Open to pre-credentialed media"
2015-07-21T13:10:00-04:00,"The President departs Pittsburgh, Pennsylvania en route New York, NY","Pittsburgh International Airport","Open Press"
2015-07-21T14:20:00-04:00,"The President arrives New York, NY","John F. Kennedy International Airport","Open Press"
2015-07-21T15:35:00-04:00,"The President tapes an appearance on The Daily Show with Jon Stewart","New York, The Daily Show Studio","Pool Spray"
2015-07-21T16:15:00-04:00,"The Vice President participates in a roundtable discussion that will focus on the Administrationâs economic policies","Community College of Denver's New Manufacturing Center","Open Press"
2015-07-21T18:20:00-04:00,"The President delivers remarks and takes questions at a DSCC event","Private Residence, New York, NY","Print Pool"
2015-07-21T20:05:00-04:00,"The President departs New York","John F. Kennedy International Airport","Open Press"
2015-07-21T20:30:00-04:00,"The Vice President attends an event for the Democratic Senatorial Campaign Committee","Private Residence","Closed Press"
2015-07-21T21:00:00-04:00,"The President arrives Joint Base Andrews",,"Travel Pool Coverage"
2015-07-21T21:15:00-04:00,"The President arrives at the White House","South Lawn","Open Press"
2015-07-20T10:00:00-04:00,"The President and the Vice President receive the Presidential Daily Briefing","Oval Office","Closed Press"
2015-07-20T11:00:00-04:00,"The President holds a bilateral meeting with Nigerian President Muhammadu Buhari; The Vice President also attends","Oval Office","Pool Spray at the Top"
2015-07-20T12:30:00-04:00,"Press Briefing by Press Secretary Josh Earnest",,
2015-07-20T17:00:00-04:00,"The President delivers remarks at a reception for the 25th anniversary of the Americans with Disabilities Act","East Room","Pooled Press"
2015-07-17T12:00:00-04:00,"Press Briefing by Press Secretary Josh Earnest",,
2015-07-17T17:05:00-04:00,"The President departs the White House","South Lawn","Open Press"
2015-07-17T17:20:00-04:00,"The President departs Joint Base Andrews",,"Travel Pool Coverage"
2015-07-17T18:15:00-04:00,"The President arrives New York","John F. Kennedy International Airport","Open to pre-credentialed media"
2015-07-17T19:10:00-04:00,"The President participates in a DNC roundtable","Private Residence â New York City","Closed Press"
2015-07-17T12:00:00-04:00,"Press Briefing by Press Secretary Josh Earnest",,
2015-07-17T17:05:00-04:00,"The President departs the White House","South Lawn","Open Press"
2015-07-17T17:20:00-04:00,"The President departs Joint Base Andrews",,"Travel Pool Coverage"
2015-07-17T18:15:00-04:00,"The President arrives New York","John F. Kennedy International Airport","Open to pre-credentialed media"
2015-07-17T19:10:00-04:00,"The President participates in a DNC roundtable","Private Residence â New York City","Closed Press"
2015-07-16T11:10:00-04:00,"The President visits El Reno Federal Correctional Institution and tapes an interview with VICE","Oklahoma, El Reno Federal Correctional Institution",
2015-07-16T11:55:00-04:00,"The President delivers a statement","Oklahoma, El Reno Federal Correctional Institution","Travel Pool Coverage"
2015-07-16T13:45:00-04:00,"The President departs Oklahoma","Tinker Air Force Base","Open to pre-credentialed media"
2015-07-16T16:10:00-04:00,"The President arrives Joint Base Andrews",,"Travel Pool Coverage"
2015-07-16T16:25:00-04:00,"The President arrives the White House","South Lawn","Open Press"
2015-07-16T16:30:00-04:00,"The Vice President delivers remarks at Generation Progressâs 10th Annual Make Progress National Summit","Walter E. Washington Convention Center","Open to pre-credentialed media"
2015-07-15T13:00:00-04:00,"The President holds a press conference","East Room","Open Press"
2015-07-15T14:20:00-04:00,"The President departs the White House","South Lawn","Open Press"
2015-07-15T14:35:00-04:00,"The President departs Joint Base Andrews",,"Travel Pool Coverage"
2015-07-15T17:20:00-04:00,"The President arrives North Texas Regional Airport","North Texas Regional Airport","Open to pre-credentialed media"
2015-07-15T18:45:00-04:00,"The President delivers remarks","Oklahoma, Durant High School","Open to pre-credentialed media"
2015-07-15T20:25:00-04:00,"The President departs North Texas Regional Airport","North Texas Airport","Open to pre-credentialed media"
2015-07-15T21:10:00-04:00,"The President arrives Oklahoma City, Oklahoma","Tinker Air Force Base","Open to pre-credentialed media"
2015-07-14T07:00:00-04:00,"The President delivers a statement on Iran","State Floor","Pooled Press"
2015-07-14T10:00:00-04:00,"The President and the Vice President receive the Presidential Daily Briefing","Oval Office","Closed Press"
2015-07-14T14:05:00-04:00,"The President departs the White House","South Lawn","Open Press"
2015-07-14T14:20:00-04:00,"The President departs Joint Base Andrews",,"Travel Pool Coverage"
2015-07-14T15:05:00-04:00,"The President arrives Philadelphia International Airport","Philadelphia International Airport","Open to pre-credentialed media"
2015-07-14T16:05:00-04:00,"The President delivers remarks","Philadelphia Convention Center","Open to pre-credentialed media"
2015-07-14T17:10:00-04:00,"The President participates in a DNC roundtable","The Rittenhouse Hotel","Closed Press"
2015-07-14T18:50:00-04:00,"The President departs Philadelphia International Airport","Philadelphia International Airport","Open to pre-credentialed media"
2015-07-14T19:35:00-04:00,"The President arrives Joint Base Andrews",,"Travel Pool Coverage"
2015-07-14T19:50:00-04:00,"The President arrives the White House","South Lawn","Open Press"
2015-07-13T10:00:00-04:00,"The President and Vice President receive the Presidential Daily Briefing","Oval Office","Closed Press"
2015-07-13T11:15:00-04:00,"The President delivers remarks at the 2015 White House Conference on Aging","East Room","Open Press"
2015-07-13T12:30:00-04:00,"The President and the Vice President meet for lunch","Private Dining Room","Closed Press"
2015-07-13T13:00:00-04:00,"Press Briefing by Press Secretary Josh Earnest",,
2015-07-13T15:00:00-04:00,"The Vice President delivers remarks at the first U.S.-Ukraine Business Forum chested by the U.S. Chamber of Commerce and the Department of Commerce","U.S. Chamber of Commerce","Open Press"
2015-07-13T19:00:00-04:00,"The Vice President delivers remarks on U.S.-India relations at an event hosted by the Carnegie Endowment for International Peace and the Confederation of Indian Industry","The Willard Hotel","Open Press"
2015-07-10T10:30:00-04:00,"The President receives the Presidential Daily Briefing","Oval Office","Closed Press"
2015-07-10T11:40:00-04:00,"The First Lady delivers remarks at the 2015 Kids' ""State Dinner""",,
2015-07-10T12:30:00-04:00,"Press Briefing by Press Secretary Josh Earnest",,
2015-07-10T14:00:00-04:00,"The President designates three new national monuments","Oval Office","Pool Spray"
2015-07-09T10:30:00-04:00,"The President and the Vice President receive the Presidential Daily Briefing","Oval Office","Closed Press"
2015-07-09T12:30:00-04:00,"Press Briefing by Press Secretary Josh Earnest",,
2015-07-09T15:15:00-04:00,"The President and the Vice President meet with Attorney General Lynch","Oval Office","Closed Press"
2015-07-09T19:00:00-04:00,"The Vice President delivers remarks at an event hosted by Freedom to Marry","Cipriani Wall Street","Open Press"
2015-07-08T10:30:00-04:00,"The President and the Vice President receive the Presidential Daily Briefing","Oval Office","Closed Press"
2015-07-08T12:30:00-04:00,"The President and the Vice President meet for lunch","Private Dining Room","Closed Press"
2015-07-08T13:00:00-04:00,"Press Briefing by Press Secretary Josh Earnest",,
2015-07-08T14:00:00-04:00,"The President meets with Secretary of the Treasury Lew; The Vice President also attends","Oval Office","Closed Press"
2015-07-07T10:00:00-04:00,"The President and the Vice President receive the Presidential Daily Briefing","Oval Office","Closed Press"
2015-07-07T11:10:00-04:00,"The President holds a bilateral meeting with General Secretary Nguyen Phu Trong; The Vice President also attends.","Oval Office","Pool Spray at the Bottom"
2015-07-07T12:30:00-04:00,"Press Briefing by Press Secretary Josh Earnest",,
2015-07-07T12:45:00-04:00,"The Vice President hosts a lunch in honor of General Secretary Nguyen Phu Trong","Department of State","Pool Spray at the Top"
2015-07-07T15:45:00-04:00,"The President meets with Secretary of Defense Carter","Oval Office","Closed Press"
2015-07-07T18:15:00-04:00,"The President meets with the Senate Democratic Caucus","The State Dining Room","Closed Press"
2015-07-06T10:00:00-04:00,"The President receives the Presidential Daily Briefing","Oval Office","Closed Press"
2015-07-06T12:30:00-04:00,"Press Briefing by Press Secretary Josh Earnest",,
2015-07-06T14:20:00-04:00,"The President receives an update on ISIL","The Pentagon","Pool Spray at the Top"
2015-07-06T15:55:00-04:00,"The President delivers a statement to press","The Pentagon","Pooled Press"
2015-07-01T10:00:00-04:00,"The President and the Vice President receive the Presidential Daily Briefing","Oval Office","Closed Press"
2015-07-01T11:00:00-04:00,"The President delivers a statement; the Vice President also attends","Rose Garden","Open Press"
2015-07-01T11:45:00-04:00,"The President departs the White House en route Joint Base Andrews","South Lawn","Open Press"
2015-07-01T12:00:00-04:00,"The President departs Joint Base Andrews en route Nashville, TN",,"Travel Pool Coverage"
2015-07-01T13:35:00-04:00,"The President arrives Nashville, TN","Nashville International Airport","Open to pre-credentialed media"
2015-07-01T14:30:00-04:00,"The President participates in a discussion","Tennessee, Taylor Stratton Elementary School - Madison","Open to pre-credentialed media"
2015-07-01T16:35:00-04:00,"The President departs Nashville, TN","Nashville International Airport","Open to pre-credentialed media"
2015-07-01T18:05:00-04:00,"The President arrives Joint Base Andrews",,"Travel Pool Coverage"
2015-07-01T18:20:00-04:00,"The President arrives the White House","South Lawn","Open Press"
2015-06-30T10:15:00-04:00,"The President holds a bilateral meeting with President Rousseff; the Vice President will also attend","Oval Office","Pool Spray at the Top"
2015-06-30T12:05:00-04:00,"The President and President Rousseff hold a joint press conference","East Room","Open Press"
2015-06-30T13:30:00-04:00,"The Vice President and Deputy Secretary of State Tony Blinken host a lunch in honor of President Rousseff","Department of State","Pool Spray at the Top"
2015-06-30T14:45:00-04:00,"The President participates in a conference call to discuss the importance of reauthorizing the Export-Import Bank of the United States","Oval Office","Closed Press"
2015-06-30T15:15:00-04:00,"The President meets with Secretary of Defense Carter; the Vice President also attends","Oval Office","Closed Press"
2015-06-29T12:30:00-04:00,"Press Briefing by Press Secretary Josh Earnest",,
2015-06-29T14:05:00-04:00,"The President signs H.R. 2146 Defending Public Safety Employeesâ Retirement Act and H.R. 1295 Trade Preferences Extension Act of 2015","East Room","Open Press"
2015-06-29T18:00:00-04:00,"The President hosts a working dinner with President Rousseff of Brazil; the Vice President also attends","Blue Room","Closed Press"
2015-06-26T10:00:00-04:00,"The President receives the Presidential Daily Briefing","Oval Office","Closed Press"
2015-06-26T11:00:00-04:00,"The President delivers a statement","Rose Garden","Open Press"
2015-06-26T11:20:00-04:00,"The President and the First Lady depart the White House en route Joint Base Andrews","South Lawn","Open Press"
2015-06-26T11:35:00-04:00,"The President and the First Lady depart Joint Base Andrews en route Charleston, SC",,"Travel Pool Coverage"
2015-06-26T12:55:00-04:00,"The President and the First Lady arrive Charleston","Joint Base Charleston","Open to pre-credentialed media"
2015-06-26T13:45:00-04:00,"The President and the First Lady attend services honoring the life of Reverend Clementa Pinckney; the President delivers remarks and the Vice President and Dr. Biden also attend","South Carolina, College of Charleston TD Arena - Charleston","Open to pre-credentialed media"
2015-06-26T17:25:00-04:00,"The President and the First Lady depart Charleston","Joint Base Charleston","Open to pre-credentialed media"
2015-06-26T18:45:00-04:00,"The President and the First Lady arrive Joint Base Andrews",,"Travel Pool Coverage"
2015-06-26T19:00:00-04:00,"The President and the First Lady arrive the White House","South Lawn","Open Press"
2015-06-25T10:00:00-04:00,"The President and the Vice President receive the Presidential Daily Briefing","Oval Office","Closed Press"
2015-06-25T11:30:00-04:00,"The President delivers a statement","Rose Garden","Open Press"
2015-06-25T13:30:00-04:00,"Press Briefing by Press Secretary Josh Earnest",,
2015-06-25T18:30:00-04:00,"The Vice President delivers remarks at the Truman National Security Projectâs 2015 conference","Marriott at Metro Center","Open to pre-credentialed media"
2015-06-24T10:00:00-04:00,"The President and the Vice President receive the Presidential Daily Briefing","Oval Office","Closed Press"
2015-06-24T12:20:00-04:00,"The President delivers remarks on the completion of the review of how the United States Government responds to overseas hostage cases","Roosevelt Room","Pooled Press"
2015-06-24T13:00:00-04:00,"Press Briefing by Press Secretary Josh Earnest",,
2015-06-24T14:55:00-04:00,"The President meets with the U.S. and Chinese co-chairs at the conclusion of the dialogues","Cabinet Room","Pool Spray at the Top"
2015-06-24T17:05:00-04:00,"The President hosts a reception to observe LGBT Pride Month; the Vice President also attends","East Room","Pooled Press"
2015-06-23T10:00:00-04:00,"The President receives the Presidential Daily Briefing","Oval Office","Closed Press"
2015-06-23T12:30:00-04:00,"The President and the Vice President meet for lunch","Private Dining Room","Closed Press"
2015-06-23T12:30:00-04:00,"Press Briefing by Press Secretary Josh Earnest",,
2015-06-22T10:30:00-04:00,"The President receives the Presidential Daily Briefing","Oval Office","Closed Press"
2015-06-22T12:30:00-04:00,"Press Briefing by Press Secretary Josh Earnest",,
2015-06-22T20:50:00-04:00,"The President hosts an Iftar dinner","East Room","Pooled Press"
2015-06-19T14:40:00-04:00,"The President departs Los Angeles, California en route San Francisco, California","Los Angeles International Airport","Open to pre-credentialed media"
2015-06-19T15:50:00-04:00,"The President arrives in San Francisco, California","San Francisco International Airport","Open to pre-credentialed media"
2015-06-19T17:15:00-04:00,"The President delivers remarks at the Annual Meeting of the U.S. Conference of Mayors","San Francisco, Hilton San Francisco Union Square","Open to pre-credentialed media"
2015-06-19T18:25:00-04:00,"The President participates in a DNC roundtable","Private Residence, San Francisco","Closed Press"
2015-06-19T20:50:00-04:00,"The President attends a DCCC event","Private Residence, San Francisco","Print Pool"
2015-06-18T10:00:00-04:00,"The President and the Vice President receive the Presidential Daily Briefing","Oval Office","Closed Press"
2015-06-18T12:10:00-04:00,"The President departs the White House","South Lawn","Open Press"
2015-06-18T12:25:00-04:00,"The President departs Andrews Air Force Base en route Los Angeles, California",,"Travel Pool Coverage"
2015-06-18T17:20:00-04:00,"The President arrives in Los Angeles, California","Los Angeles International Airport","Open to pre-credentialed media"
2015-06-18T18:10:00-04:00,"The President participates in a DNC roundtable","Private Residence - Los Angeles","Closed Press"
2015-06-18T20:00:00-04:00,"The President attends a DNC event","Private Residence - Beverly Hills","Print Pool"
2015-06-17T10:00:00-04:00,"The President and the Vice President receive the Presidential Daily Briefing","Oval Office","Closed Press"
2015-06-17T11:15:00-04:00,"The President delivers remarks at an investiture ceremony for Attorney General Lynch","Washington D.C., The Warner Theater","Pooled TV, Open to Correspondents"
2015-06-17T12:30:00-04:00,"Press Briefing by Press Secretary Josh Earnest",,
2015-06-17T15:45:00-04:00,"The President meets with winners of the Presidential Award for Excellence in Science, Mathematics, and Engineering Mentoring","Oval Office","Closed Press"
2015-06-17T18:25:00-04:00,"The President delivers remarks at a picnic for Members of Congress","South Lawn","Pool Spray"
2015-06-16T10:00:00-04:00,"The President and the Vice President receive the Presidential Daily Briefing","Oval Office","Closed Press"
2015-06-16T12:30:00-04:00,"The President and the Vice President meet for lunch","Private Dining Room","Closed Press"
2015-06-16T12:30:00-04:00,"Press Briefing by Press Secretary Josh Earnest",,
2015-06-16T15:15:00-04:00,"The Vice President delivers remarks at the White House Clean Energy Investment Summit","Eisenhower Executive Office Building","Open Press"
2015-06-16T17:05:00-04:00,"The President meets with Secretary of Defense Carter; the Vice President also attends","Oval Office","Closed Press"
2015-06-15T10:00:00-04:00,"The President receives the Presidential Daily Briefing","Oval Office","Closed Press"
2015-06-15T12:30:00-04:00,"Press Briefing by Press Secretary Josh Earnest",,
2015-06-15T14:05:00-04:00,"The President participates in the White House Mentorship and Leadership Graduation Ceremony","Blue Room","Pool Spray at the Top"
2015-06-12T10:00:00-04:00,"The President and the Vice President receive the Presidential Daily Briefing","Oval Office","Closed Press"
2015-06-12T11:45:00-04:00,"The President meets with governors of Western States via video teleconference","The Situation Room","Closed Press"
2015-06-12T12:30:00-04:00,"Press Briefing by Press Secretary Josh Earnest",,
2015-06-11T10:00:00-04:00,"The President receives the Presidential Daily Briefing","Oval Office","Closed Press"
2015-06-11T12:30:00-04:00,"Press Briefing by Press Secretary Josh Earnest",,
2015-06-11T14:35:00-04:00,"The President participates in a DNC roundtable","Private Residence - D.C.","Closed Press"
